"TertiaryNodes","SrcRadiusTertiary","GridTimeSeconds","RaytraceTimeSeconds","TotalTimeSeconds","SingleRayPathTime"
"1","1","0.1441288","0.3110936","0.4552224","0.02276112"
"1","2","0.1445971","0.3563866","0.5009837","0.025049185"
"1","3","0.1465502","0.3271894","0.4737396","0.02368698"
"1","4","0.1380644","0.324881","0.4629454","0.02314727"
"1","5","0.1438162","0.3169613","0.4607775","0.023038875"
"1","6","0.1395268","0.326224","0.4657508","0.02328754"
"1","7","0.1386666","0.3275548","0.4662214","0.02331107"
"1","8","0.1381589","0.3317843","0.4699432","0.02349716"
"1","9","0.1351781","0.3138081","0.4489862","0.02244931"
"1","10","0.1399236","0.3183875","0.4583111","0.022915555"
"2","1","0.1552095","0.323532","0.4787415","0.023937075"
"2","2","0.1379841","0.3114431","0.4494272","0.02247136"
"2","3","0.13844","0.3176083","0.4560483","0.022802415"
"2","4","0.1371842","0.3223684","0.4595526","0.02297763"
"2","5","0.1550056","0.3395478","0.4945534","0.02472767"
"2","6","0.1347419","0.3369695","0.4717114","0.02358557"
"2","7","0.1365594","0.3247241","0.4612835","0.023064175"
"2","8","0.1392467","0.3251885","0.4644352","0.02322176"
"2","9","0.1776267","0.3418927","0.5195194","0.02597597"
"2","10","0.1421635","0.3349785","0.477142","0.0238571"
"3","1","0.1425894","0.3347814","0.4773708","0.02386854"
"3","2","0.1357385","0.3209528","0.4566913","0.022834565"
"3","3","0.1391346","0.3204352","0.4595698","0.02297849"
"3","4","0.1357396","0.3294377","0.4651773","0.023258865"
"3","5","0.1424382","0.3328947","0.4753329","0.023766645"
"3","6","0.1365559","0.3455473","0.4821032","0.02410516"
"3","7","0.1434498","0.3318811","0.4753309","0.023766545"
"3","8","0.1417822","0.3463863","0.4881685","0.024408425"
"3","9","0.1468611","0.3450771","0.4919382","0.02459691"
"3","10","0.1421618","0.3437571","0.4859189","0.024295945"
"4","1","0.1389965","0.3416843","0.4806808","0.02403404"
"4","2","0.1471585","0.3227464","0.4699049","0.023495245"
"4","3","0.1465778","0.3221966","0.4687744","0.02343872"
"4","4","0.1394634","0.321126","0.4605894","0.02302947"
"4","5","0.1387719","0.3307744","0.4695463","0.023477315"
"4","6","0.1350854","0.3405998","0.4756852","0.02378426"
"4","7","0.1554519","0.3348858","0.4903377","0.024516885"
"4","8","0.1385691","0.3521818","0.4907509","0.024537545"
"4","9","0.1475824","0.3592629","0.5068453","0.025342265"
"4","10","0.1385762","0.3455545","0.4841307","0.024206535"
"5","1","0.137753","0.3096771","0.4474301","0.022371505"
"5","2","0.1507245","0.3253827","0.4761072","0.02380536"
"5","3","0.1492472","0.3632134","0.5124606","0.02562303"
"5","4","0.1736789","0.3509382","0.5246171","0.026230855"
"5","5","0.1395854","0.3325895","0.4721749","0.023608745"
"5","6","0.1383952","0.3508115","0.4892067","0.024460335"
"5","7","0.1549054","0.3490738","0.5039792","0.02519896"
"5","8","0.1434867","0.3506386","0.4941253","0.024706265"
"5","9","0.1358293","0.3696095","0.5054388","0.02527194"
"5","10","0.1465517","0.3566921","0.5032438","0.02516219"
"6","1","0.1366131","0.3373775","0.4739906","0.02369953"
"6","2","0.1371422","0.3201321","0.4572743","0.022863715"
"6","3","0.1416847","0.3193803","0.461065","0.02305325"
"6","4","0.1461243","0.3308358","0.4769601","0.023848005"
"6","5","0.1423601","0.3359135","0.4782736","0.02391368"
"6","6","0.1486344","0.3392846","0.487919","0.02439595"
"6","7","0.1498251","0.3538382","0.5036633","0.025183165"
"6","8","0.1377878","0.3537749","0.4915627","0.024578135"
"6","9","0.1406997","0.3694943","0.510194","0.0255097"
"6","10","0.141205","0.3798472","0.5210522","0.02605261"
"7","1","0.1413907","0.3184415","0.4598322","0.02299161"
"7","2","0.1445401","0.3195853","0.4641254","0.02320627"
"7","3","0.1448608","0.3296001","0.4744609","0.023723045"
"7","4","0.1382727","0.339673","0.4779457","0.023897285"
"7","5","0.1482091","0.3419149","0.490124","0.0245062"
"7","6","0.1696472","0.4120469","0.5816941","0.029084705"
"7","7","0.1394991","0.3577352","0.4972343","0.024861715"
"7","8","0.1511562","0.3809208","0.532077","0.02660385"
"7","9","0.1373832","0.3903301","0.5277133","0.026385665"
"7","10","0.1388959","0.4076421","0.546538","0.0273269"
"8","1","0.1347529","0.3316807","0.4664336","0.02332168"
"8","2","0.1457918","0.3208634","0.4666552","0.02333276"
"8","3","0.1386245","0.3277496","0.4663741","0.023318705"
"8","4","0.1388538","0.3433766","0.4822304","0.02411152"
"8","5","0.1469135","0.3375822","0.4844957","0.024224785"
"8","6","0.1389277","0.3648654","0.5037931","0.025189655"
"8","7","0.1401305","0.3754637","0.5155942","0.02577971"
"8","8","0.1461143","0.4119995","0.5581138","0.02790569"
"8","9","0.138339","0.4165519","0.5548909","0.027744545"
"8","10","0.1519453","0.4233265","0.5752718","0.02876359"
"9","1","0.1597066","0.311485","0.4711916","0.02355958"
"9","2","0.141763","0.3320781","0.4738411","0.023692055"
"9","3","0.156553","0.3242875","0.4808405","0.024042025"
"9","4","0.1378383","0.3592075","0.4970458","0.02485229"
"9","5","0.1366725","0.3586217","0.4952942","0.02476471"
"9","6","0.1416443","0.3629649","0.5046092","0.02523046"
"9","7","0.140444","0.3898968","0.5303408","0.02651704"
"9","8","0.1397126","0.3917625","0.5314751","0.026573755"
"9","9","0.1377929","0.4959304","0.6337233","0.031686165"
"9","10","0.1374387","0.4350766","0.5725153","0.028625765"
"10","1","0.1464129","0.3238818","0.4702947","0.023514735"
"10","2","0.1405939","0.3217709","0.4623648","0.02311824"
"10","3","0.1553842","0.3385335","0.4939177","0.024695885"
"10","4","0.147906","0.3374432","0.4853492","0.02426746"
"10","5","0.135973","0.3536126","0.4895856","0.02447928"
"10","6","0.1385952","0.3812324","0.5198276","0.02599138"
"10","7","0.1373336","0.3968303","0.5341639","0.026708195"
"10","8","0.1440818","0.4087602","0.552842","0.0276421"
"10","9","0.1434977","0.4661467","0.6096444","0.03048222"
"10","10","0.1428041","0.4900786","0.6328827","0.031644135"
