"SecondaryNodes","GridTimeSeconds","RaytraceTimeSeconds","TotalTimeSeconds","SingleRayPathTime"
"0","0.0695249","0.0801744","0.1496993","0.007484965"
"1","0.1603314","0.3216301","0.4819615","0.024098075"
"2","0.2225888","0.6886513","0.9112401","0.045562005"
"3","0.33631","1.1766439","1.5129539","0.075647695"
"4","0.3453446","1.7597838","2.1051284","0.10525642"
"5","0.4044287","2.450968","2.8553967","0.142769835"
"6","0.4634303","3.257649","3.7210793","0.186053965"
"7","0.5217298","4.1823075","4.7040373","0.235201865"
"8","0.5848816","5.3402977","5.9251793","0.296258965"
"9","0.637749","6.3918552","7.0296042","0.35148021"
"10","0.703669","7.7797549","8.4834239","0.424171195"
